,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV99,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavihumibacter,s__Flavihumibacter_solisilvae
ASV98,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propioniciclava,s__metagenome
ASV97,k__norank_Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Geothrix,s__norank_Geothrix
ASV96,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV95,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank_Propionibacteriaceae,s__norank_Propionibacteriaceae
ASV94,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__norank_Niabella
ASV93,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV92,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Hydrogenophaga,s__norank_Hydrogenophaga
ASV91,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__Kineosphaera,s__norank_Kineosphaera
ASV90,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV9,k__norank_Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_hopiensis
ASV89,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV88,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__norank_Saccharimonadaceae,s__norank_Saccharimonadaceae
ASV87,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank_Candidatus_Competibacter
ASV86,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prolixibacteraceae,g__WCHB1-32,s__norank_WCHB1-32
ASV85,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__norank_Tetrasphaera
ASV84,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__norank_Dermatophilaceae,s__norank_Dermatophilaceae
ASV83,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV82,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Simplicispira,s__Simplicispira_limi
ASV81,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV80,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ottowia,s__metagenome
ASV8,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp._KJF15-17
ASV79,k__norank_Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_sp._JXZ-2
ASV78,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__norank_Flavobacteriaceae,s__norank_Flavobacteriaceae
ASV77,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Zoogloea,s__norank_Zoogloea
ASV76,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_sp._A1-ST2
ASV75,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__Kineosphaera,s__norank_Kineosphaera
ASV74,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV73,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV72,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__norank_Flavobacterium
ASV71,k__norank_Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Thauera,s__norank_Thauera
ASV70,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__wastewater_metagenome,g__wastewater_metagenome,s__wastewater_metagenome
ASV7,k__norank_Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_Saccharimonadales,g__norank_Saccharimonadales,s__norank_Saccharimonadales
ASV69,k__norank_Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermatophilaceae,g__norank_Dermatophilaceae,s__norank_Dermatophilaceae
ASV68,k__norank_Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp._KJF15-17
