"","Network","remove_strategy","remove_ratio","remove_number","measure","Run","value"
"1","IW","edge_rand",0,"0","Eff","run1",0.373645411937662
"2","IW","edge_strong",0,"0","Eff","run1",0.373642793556675
"3","IW","node_rand",0,"0","Eff","run1",0.373645411937662
"4","IW","node_degree_high",0,"0","Eff","run1",0.37225116137238
"5","IW","edge_rand",0,"0","Eigen","run1",2.14453030934286
"6","IW","edge_strong",0,"0","Eigen","run1",2.13979953240497
"7","IW","node_rand",0,"0","Eigen","run1",2.14453030934286
"8","IW","node_degree_high",0,"0","Eigen","run1",2.06391603084241
"9","IW","edge_rand",0,"0","Pcr","run1",0.986757824967231
"10","IW","edge_strong",0,"0","Pcr","run1",0.986751708501439
"11","IW","node_rand",0,"0","Pcr","run1",0.986757824967231
"12","IW","node_degree_high",0,"0","Pcr","run1",0.986329524759086
"13","IW","edge_rand",0.1,"660","Eff","run1",0.365470921397868
"14","IW","edge_strong",0.1,"660","Eff","run1",0.370280058514741
"15","IW","node_rand",0.1,"30","Eff","run1",0.365586769581098
"16","IW","node_degree_high",0.1,"30","Eff","run1",0.341173285852236
"17","IW","edge_rand",0.1,"660","Eigen","run1",1.29399672720457
"18","IW","edge_strong",0.1,"660","Eigen","run1",0.811258562903801
"19","IW","node_rand",0.1,"30","Eigen","run1",1.53153626615621
"20","IW","node_degree_high",0.1,"30","Eigen","run1",0.25319276370446
"21","IW","edge_rand",0.1,"660","Pcr","run1",0.983685265136406
"22","IW","edge_strong",0.1,"660","Pcr","run1",0.982848317980797
"23","IW","node_rand",0.1,"30","Pcr","run1",0.982592830799542
"24","IW","node_degree_high",0.1,"30","Pcr","run1",0.96254215150011
"25","IW","edge_rand",0.2,"1319","Eff","run1",0.363792767585907
"26","IW","edge_strong",0.2,"1319","Eff","run1",0.367203241550139
"27","IW","node_rand",0.2,"61","Eff","run1",0.356139871922807
"28","IW","node_degree_high",0.2,"61","Eff","run1",0.306177570815836
"29","IW","edge_rand",0.2,"1319","Eigen","run1",0.624488150975879
"30","IW","edge_strong",0.2,"1319","Eigen","run1",0.228107669263924
"31","IW","node_rand",0.2,"61","Eigen","run1",1.3908055086074
"32","IW","node_degree_high",0.2,"61","Eigen","run1",0.0541633220853662
"33","IW","edge_rand",0.2,"1319","Pcr","run1",0.97968000505607
"34","IW","edge_strong",0.2,"1319","Pcr","run1",0.977491214955503
"35","IW","node_rand",0.2,"61","Pcr","run1",0.980453507079937
"36","IW","node_degree_high",0.2,"61","Pcr","run1",0.884935377531265
"37","IW","edge_rand",0.3,"1979","Eff","run1",0.342727417770414
"38","IW","edge_strong",0.3,"1979","Eff","run1",0.362639435318295
"39","IW","node_rand",0.3,"92","Eff","run1",0.361459619271396
"40","IW","node_degree_high",0.3,"92","Eff","run1",0.262382955430211
"41","IW","edge_rand",0.3,"1979","Eigen","run1",0.268106123463036
"42","IW","edge_strong",0.3,"1979","Eigen","run1",0.0826737270009736
"43","IW","node_rand",0.3,"92","Eigen","run1",1.26629806642326
"44","IW","node_degree_high",0.3,"92","Eigen","run1",0.0222315769501133
"45","IW","edge_rand",0.3,"1979","Pcr","run1",0.973376247832108
"46","IW","edge_strong",0.3,"1979","Pcr","run1",0.96968236365602
"47","IW","node_rand",0.3,"92","Pcr","run1",0.975058131414174
"48","IW","node_degree_high",0.3,"92","Pcr","run1",0.591277493983305
"49","IW","edge_rand",0.4,"2639","Eff","run1",0.352938750154318
"50","IW","edge_strong",0.4,"2639","Eff","run1",0.356761001127977
"51","IW","node_rand",0.4,"122","Eff","run1",0.34030895364486
"52","IW","node_degree_high",0.4,"122","Eff","run1",0.21384743988309
"53","IW","edge_rand",0.4,"2639","Eigen","run1",0.0999730496713799
"54","IW","edge_strong",0.4,"2639","Eigen","run1",0.0455247834501791
"55","IW","node_rand",0.4,"122","Eigen","run1",0.480039376045302
"56","IW","node_degree_high",0.4,"122","Eigen","run1",0.0141856656054082
"57","IW","edge_rand",0.4,"2639","Pcr","run1",0.964787217777709
"58","IW","edge_strong",0.4,"2639","Pcr","run1",0.956925297561897
"59","IW","node_rand",0.4,"122","Pcr","run1",0.961413831828178
"60","IW","node_degree_high",0.4,"122","Pcr","run1",-3.46850304809212
"61","IW","edge_rand",0.5,"3298","Eff","run1",0.324543111301347
"62","IW","edge_strong",0.5,"3298","Eff","run1",0.351762921214296
"63","IW","node_rand",0.5,"152","Eff","run1",0.321328159706346
"64","IW","node_degree_high",0.5,"152","Eff","run1",0.16475280524735
"65","IW","edge_rand",0.5,"3298","Eigen","run1",0.0493381275991121
"66","IW","edge_strong",0.5,"3298","Eigen","run1",0.0333826462779996
"67","IW","node_rand",0.5,"152","Eigen","run1",0.318946177287789
"68","IW","node_degree_high",0.5,"152","Eigen","run1",0.0108205770059284
"69","IW","edge_rand",0.5,"3298","Pcr","run1",0.947925907580361
"70","IW","edge_strong",0.5,"3298","Pcr","run1",0.936440596317017
"71","IW","node_rand",0.5,"152","Pcr","run1",0.937806158055535
"72","IW","node_degree_high",0.5,"152","Pcr","run1",3.23253175140343
"73","IW","edge_rand",0.6,"3958","Eff","run1",0.31400945781032
"74","IW","edge_strong",0.6,"3958","Eff","run1",0.345109813883144
"75","IW","node_rand",0.6,"183","Eff","run1",0.338485894351062
"76","IW","node_degree_high",0.6,"183","Eff","run1",0.111344707380948
"77","IW","edge_rand",0.6,"3958","Eigen","run1",0.031797064979346
"78","IW","edge_strong",0.6,"3958","Eigen","run1",0.0261833618739858
"79","IW","node_rand",0.6,"183","Eigen","run1",0.217619391223788
"80","IW","node_degree_high",0.6,"183","Eigen","run1",0.0084205758678729
"81","IW","edge_rand",0.6,"3958","Pcr","run1",0.918880367909564
"82","IW","edge_strong",0.6,"3958","Pcr","run1",0.897581465551041
"83","IW","node_rand",0.6,"183","Pcr","run1",0.921074827571768
"84","IW","node_degree_high",0.6,"183","Pcr","run1",2.29619805481874
"85","IW","edge_rand",0.7,"4618","Eff","run1",0.298851109076719
"86","IW","edge_strong",0.7,"4618","Eff","run1",0.323726162109457
"87","IW","node_rand",0.7,"214","Eff","run1",0.278679110470817
"88","IW","node_degree_high",0.7,"214","Eff","run1",0.0363569927507209
"89","IW","edge_rand",0.7,"4618","Eigen","run1",0.0242010324236403
"90","IW","edge_strong",0.7,"4618","Eigen","run1",0.0196508141333831
"91","IW","node_rand",0.7,"214","Eigen","run1",0.126140303860376
"92","IW","node_degree_high",0.7,"214","Eigen","run1",0.00601007185435311
"93","IW","edge_rand",0.7,"4618","Pcr","run1",0.858433442514824
"94","IW","edge_strong",0.7,"4618","Pcr","run1",0.802476734374714
"95","IW","node_rand",0.7,"214","Pcr","run1",0.768402011027318
"96","IW","node_degree_high",0.7,"214","Pcr","run1",2.09089471876607
"97","IW","edge_rand",0.8,"5278","Eff","run1",0.272498864103574
