"","Network","remove_strategy","remove_ratio","remove_number","measure","Mean","SD"
"1","IW","edge_rand",0,"0","Eff",0.373645411937662,0
"2","IW","edge_rand",0,"0","Eigen",2.14453030934286,0
"3","IW","edge_rand",0,"0","Pcr",0.986757824967231,0
"4","IW","edge_rand",0.1,"660","Eff",0.36552826316233,0.00206860723711909
"5","IW","edge_rand",0.1,"660","Eigen",1.31318831733757,0.0338761597588529
"6","IW","edge_rand",0.1,"660","Pcr",0.983763405587465,0.000132688656022573
"7","IW","edge_rand",0.2,"1319","Eff",0.360776083624503,0.00378376234372209
"8","IW","edge_rand",0.2,"1319","Eigen",0.656524501050939,0.0184227543882414
"9","IW","edge_rand",0.2,"1319","Pcr",0.979669889642263,0.000148075471781267
"10","IW","edge_rand",0.3,"1979","Eff",0.349052355003415,0.0045654312004405
"11","IW","edge_rand",0.3,"1979","Eigen",0.255716293895965,0.0125322480855442
"12","IW","edge_rand",0.3,"1979","Pcr",0.973535829150684,0.000301943152233104
"13","IW","edge_rand",0.4,"2639","Eff",0.342280679499632,0.00712152252623141
"14","IW","edge_rand",0.4,"2639","Eigen",0.0993207208164825,0.00517214446775383
"15","IW","edge_rand",0.4,"2639","Pcr",0.964199490924604,0.000579654097582424
"16","IW","edge_rand",0.5,"3298","Eff",0.330574295694736,0.00573296037697288
"17","IW","edge_rand",0.5,"3298","Eigen",0.0508291431222777,0.00145825871467629
"18","IW","edge_rand",0.5,"3298","Pcr",0.948806232089695,0.000757695513748404
"19","IW","edge_rand",0.6,"3958","Eff",0.316302359949308,0.00463179379217167
"20","IW","edge_rand",0.6,"3958","Eigen",0.0325575612889586,0.000806707367479446
"21","IW","edge_rand",0.6,"3958","Pcr",0.92027337518118,0.00158995856057398
"22","IW","edge_rand",0.7,"4618","Eff",0.307208906391942,0.00731264390890606
"23","IW","edge_rand",0.7,"4618","Eigen",0.0242626484197158,0.000743645436605932
"24","IW","edge_rand",0.7,"4618","Pcr",0.85915253577284,0.00348644667418244
"25","IW","edge_rand",0.8,"5278","Eff",0.272763319865107,0.0104094248758779
"26","IW","edge_rand",0.8,"5278","Eigen",0.0167517135854521,0.000741768908670974
"27","IW","edge_rand",0.8,"5278","Pcr",0.636398135181582,0.0156724915237826
"28","IW","edge_rand",0.9,"5937","Eff",0.221923433166135,0.0046092014868003
"29","IW","edge_rand",0.9,"5937","Eigen",0.0103221696838101,0.000626281548302845
"30","IW","edge_rand",0.9,"5937","Pcr",27.2368155017676,112.026075981957
"31","IW","edge_strong",0,"0","Eff",0.373642793556675,NA
"32","IW","edge_strong",0,"0","Eigen",2.13979953240497,NA
"33","IW","edge_strong",0,"0","Pcr",0.986751708501439,NA
"34","IW","edge_strong",0.1,"660","Eff",0.370280058514741,NA
"35","IW","edge_strong",0.1,"660","Eigen",0.811258562903801,NA
"36","IW","edge_strong",0.1,"660","Pcr",0.982848317980797,NA
"37","IW","edge_strong",0.2,"1319","Eff",0.367203241550139,NA
"38","IW","edge_strong",0.2,"1319","Eigen",0.228107669263924,NA
"39","IW","edge_strong",0.2,"1319","Pcr",0.977491214955503,NA
"40","IW","edge_strong",0.3,"1979","Eff",0.362639435318295,NA
"41","IW","edge_strong",0.3,"1979","Eigen",0.0826737270009736,NA
"42","IW","edge_strong",0.3,"1979","Pcr",0.96968236365602,NA
